book,chapter,title,totalChars,dialogueChars,dialogueRatio,sentenceCount,avgSentenceLen,bannedHits
一睁眼，前夫成了我懒汉相公,1,哎……,2426,677,27.9,136,17.8,1
一睁眼，前夫成了我懒汉相公,2,极品中夫妻,1936,373,19.3,114,17.0,4
一睁眼，前夫成了我懒汉相公,3,太阳打西边出来了,2143,883,41.2,91,23.5,1
一睁眼，前夫成了我懒汉相公,4,都离婚了，还睡一起干什么？,1898,485,25.6,100,19.0,1
一睁眼，前夫成了我懒汉相公,5,半斤八两,2041,427,20.9,131,15.6,1
一睁眼，前夫成了我懒汉相公,6,发誓像放屁,2084,550,26.4,88,23.7,1
一睁眼，前夫成了我懒汉相公,7,病急乱投医,2378,835,35.1,109,21.8,1
一睁眼，前夫成了我懒汉相公,8,好狗血的桥段,2112,817,38.7,95,22.2,1
一睁眼，前夫成了我懒汉相公,9,忽悠,2076,1018,49.0,103,20.2,1
一睁眼，前夫成了我懒汉相公,10,满载而归,2094,725,34.6,94,22.3,1
一睁眼，前夫成了我懒汉相公,11,竟然还有这种事？,2059,496,24.1,91,22.6,0
一睁眼，前夫成了我懒汉相公,12,修复关系,2154,606,28.1,96,22.4,1
一睁眼，前夫成了我懒汉相公,13,上山,2090,579,27.7,97,21.5,0
一睁眼，前夫成了我懒汉相公,14,何胜挑拨,2055,899,43.7,99,20.8,1
一睁眼，前夫成了我懒汉相公,15,他白感动了,2065,658,31.9,91,22.7,0
一睁眼，前夫成了我懒汉相公,16,和先前有些不一样了,2049,689,33.6,96,21.3,0
一睁眼，前夫成了我懒汉相公,17,偶遇大冤种,2059,401,19.5,68,30.3,0
一睁眼，前夫成了我懒汉相公,18,惊喜发现,2024,469,23.2,79,25.6,0
一睁眼，前夫成了我懒汉相公,19,手艺不错吧,2008,415,20.7,89,22.6,3
一睁眼，前夫成了我懒汉相公,20,点心,2060,553,26.8,93,22.2,1
一睁眼，前夫成了我懒汉相公,21,思路错了,2123,553,26.0,105,20.2,0
一睁眼，前夫成了我懒汉相公,22,被人盯上了,2022,323,16.0,89,22.7,0
一睁眼，前夫成了我懒汉相公,23,别怕,2025,312,15.4,101,20.0,3
一睁眼，前夫成了我懒汉相公,24,找他算账,2066,457,22.1,88,23.5,0
一睁眼，前夫成了我懒汉相公,25,低头,1886,513,27.2,90,21.0,3
一睁眼，前夫成了我懒汉相公,26,凌乱,2219,585,26.4,99,22.4,1
一睁眼，前夫成了我懒汉相公,27,惊险,1831,79,4.3,70,26.2,1
一睁眼，前夫成了我懒汉相公,28,泼天的狗屎运,2391,847,35.4,115,20.8,2
一睁眼，前夫成了我懒汉相公,29,比以前精明了,2851,672,23.6,116,24.6,2
一睁眼，前夫成了我懒汉相公,30,他眼里的担忧,2095,605,28.9,95,22.1,2
一睁眼，前夫成了我懒汉相公,31,不会是吃醋了吧？,2115,544,25.7,93,22.7,2
一睁眼，前夫成了我懒汉相公,32,别说话，外面有人,2037,497,24.4,106,19.2,1
一睁眼，前夫成了我懒汉相公,33,信不信我叫老四休了你？,2032,761,37.5,107,19.0,0
一睁眼，前夫成了我懒汉相公,34,出谋划策,2083,1313,63.0,107,19.5,0
一睁眼，前夫成了我懒汉相公,35,小云带走了,2046,770,37.6,112,18.3,2
一睁眼，前夫成了我懒汉相公,36,狗仗人势,2019,889,44.0,111,18.2,5
一睁眼，前夫成了我懒汉相公,37,陈汐，你是不是有病？,2173,498,22.9,113,19.2,2
一睁眼，前夫成了我懒汉相公,38,我背你！,2532,589,23.3,122,20.8,5
一睁眼，前夫成了我懒汉相公,39,做菜,2012,406,20.2,110,18.3,0
一睁眼，前夫成了我懒汉相公,40,两幅字画,2129,688,32.3,107,19.9,0
一睁眼，前夫成了我懒汉相公,41,你真是无情,2113,621,29.4,94,22.5,1
一睁眼，前夫成了我懒汉相公,42,像乞丐进城,2075,415,20.0,100,20.8,0
一睁眼，前夫成了我懒汉相公,43,猜灯谜,2070,402,19.4,94,22.0,5
一睁眼，前夫成了我懒汉相公,44,什么破名字啊,2080,588,28.3,110,18.9,1
一睁眼，前夫成了我懒汉相公,45,贴这么近干什么？,2267,671,29.6,138,16.4,2
一睁眼，前夫成了我懒汉相公,46,上钩了,2025,538,26.6,91,22.3,4
一睁眼，前夫成了我懒汉相公,47,早晚要离！,2103,696,33.1,120,17.5,1
一睁眼，前夫成了我懒汉相公,48,他不是第一次来？,2118,685,32.3,115,18.4,1
一睁眼，前夫成了我懒汉相公,49,没眼力见的东西,2083,717,34.4,97,21.5,1
一睁眼，前夫成了我懒汉相公,50,一场酣畅淋漓的表演,2112,356,16.9,101,20.9,0
一睁眼，前夫成了我懒汉相公,51,不要脸至极！,2113,834,39.5,114,18.5,1
