book,chapter,title,totalChars,dialogueChars,dialogueRatio,sentenceCount,avgSentenceLen,bannedHits
分手了？秦少火速领证上位,1,他根本就不喜欢你！,1859,385,20.7,77,24.1,2
分手了？秦少火速领证上位,2,有脾气了？,2065,717,34.7,108,19.1,2
分手了？秦少火速领证上位,3,跟我结婚,2383,418,17.5,118,20.2,1
分手了？秦少火速领证上位,4,我觉得挺合适,2057,1018,49.5,117,17.6,0
分手了？秦少火速领证上位,5,姜霖，你是个什么东西,2074,757,36.5,89,23.3,1
分手了？秦少火速领证上位,6,我看我老婆天经地义,1974,541,27.4,119,16.6,0
分手了？秦少火速领证上位,7,男人上了年纪，就得注意保养,2095,468,22.3,115,18.2,2
分手了？秦少火速领证上位,8,一辈子只能买一次,2545,894,35.1,152,16.7,2
分手了？秦少火速领证上位,9,你对她做了什么？,3178,684,21.5,155,20.5,2
分手了？秦少火速领证上位,10,你怎么这么没出息？,1970,475,24.1,99,19.9,1
分手了？秦少火速领证上位,11,进贼了？,1891,295,15.6,89,21.2,2
分手了？秦少火速领证上位,12,不准看,2152,689,32.0,116,18.6,2
分手了？秦少火速领证上位,13,我三天换八个,1973,592,30.0,101,19.5,2
分手了？秦少火速领证上位,14,知道我是谁吗？,2113,328,15.5,114,18.5,6
分手了？秦少火速领证上位,15,你真的，和他结婚了？,2066,508,24.6,97,21.3,4
分手了？秦少火速领证上位,16,带媳妇回去,1946,747,38.4,115,16.9,1
分手了？秦少火速领证上位,17,喊妈,2108,828,39.3,113,18.7,0
分手了？秦少火速领证上位,18,她得了脑癌,2056,1033,50.2,117,17.6,0
分手了？秦少火速领证上位,19,好像少了什么,2078,564,27.1,120,17.3,1
分手了？秦少火速领证上位,20,住下,2293,465,20.3,139,16.5,3
分手了？秦少火速领证上位,21,混蛋,2096,323,15.4,110,19.1,1
分手了？秦少火速领证上位,22,大舅哥,2033,641,31.5,121,16.8,4
分手了？秦少火速领证上位,23,与其为难自己，不如责怪别人,2024,806,39.8,125,16.2,0
分手了？秦少火速领证上位,24,你真的想好了吗？,2450,878,35.8,127,19.3,1
分手了？秦少火速领证上位,25,你玩真的啊！,2075,831,40.0,137,15.1,1
分手了？秦少火速领证上位,26,生死之交,2100,782,37.2,114,18.4,1
分手了？秦少火速领证上位,27,你要杀了我吗？,2286,733,32.1,129,17.7,4
分手了？秦少火速领证上位,28,你好像有什么阴谋？,2050,797,38.9,138,14.9,2
分手了？秦少火速领证上位,29,我真的答应你了,2095,912,43.5,135,15.5,1
分手了？秦少火速领证上位,30,这下你满意了？,2209,662,30.0,128,17.3,1
分手了？秦少火速领证上位,31,哈尼~,2287,955,41.8,122,18.7,2
分手了？秦少火速领证上位,32,真是可惜了,2055,804,39.1,125,16.4,5
分手了？秦少火速领证上位,33,生气了？,2262,875,38.7,129,17.5,0
分手了？秦少火速领证上位,34,怎么还告状和呢？,2098,790,37.7,128,16.4,0
分手了？秦少火速领证上位,35,不能反悔了吧？,2065,1048,50.8,108,19.1,1
分手了？秦少火速领证上位,36,我想要他一个答案,2156,735,34.1,115,18.7,2
分手了？秦少火速领证上位,37,得偿所愿了？,3221,846,26.3,169,19.1,3
分手了？秦少火速领证上位,38,你再好好想想,2103,623,29.6,125,16.8,0
分手了？秦少火速领证上位,39,别反悔,2242,616,27.5,133,16.9,1
分手了？秦少火速领证上位,40,两次戳他心窝子,2050,504,24.6,116,17.7,0
分手了？秦少火速领证上位,41,你这媳妇，能压得住啊？,2336,1148,49.1,102,22.9,0
分手了？秦少火速领证上位,42,看上他了？,2032,514,25.3,104,19.5,0
分手了？秦少火速领证上位,43,在想她吗？,2076,359,17.3,121,17.2,2
分手了？秦少火速领证上位,44,我叫你滚！,2005,452,22.5,102,19.7,2
分手了？秦少火速领证上位,45,身材不错,2070,181,8.7,117,17.7,1
分手了？秦少火速领证上位,46,判若两人,2111,348,16.5,109,19.4,1
分手了？秦少火速领证上位,47,真的不介意吗？,2049,601,29.3,124,16.5,1
分手了？秦少火速领证上位,48,倒反天罡,2022,406,20.1,129,15.7,2
分手了？秦少火速领证上位,49,我这个人，意志力很差的,2145,518,24.1,128,16.8,2
分手了？秦少火速领证上位,50,幻想都破灭了,2044,707,34.6,116,17.6,2
分手了？秦少火速领证上位,51,得不到的才是最好的,2080,720,34.6,129,16.1,1
分手了？秦少火速领证上位,52,是他不经打,2105,711,33.8,122,17.3,2
分手了？秦少火速领证上位,53,让我看回来,2037,717,35.2,133,15.3,0
分手了？秦少火速领证上位,54,果然很清晰,2109,605,28.7,128,16.5,1
分手了？秦少火速领证上位,55,打脸来的如此之快,2020,825,40.8,150,13.5,1
分手了？秦少火速领证上位,56,人最怕对比,2013,719,35.7,114,17.7,1
分手了？秦少火速领证上位,57,到底谁不要脸？,2101,517,24.6,113,18.6,1
分手了？秦少火速领证上位,58,总有眼瞎的时候,2047,679,33.2,110,18.6,1
分手了？秦少火速领证上位,59,做好心理准备,2019,763,37.8,136,14.8,1
