book,chapter,title,totalChars,dialogueChars,dialogueRatio,sentenceCount,avgSentenceLen,bannedHits
另嫁落魄权臣，他清冷人设崩了,1,重生,2029,43,2.1,78,26.0,4
另嫁落魄权臣，他清冷人设崩了,2,敲打,2076,361,17.4,85,24.4,3
另嫁落魄权臣，他清冷人设崩了,3,恭喜,2063,336,16.3,120,17.2,7
另嫁落魄权臣，他清冷人设崩了,4,赐婚,1941,479,24.7,95,20.4,2
另嫁落魄权臣，他清冷人设崩了,5,陷害,2116,494,23.3,110,19.2,3
另嫁落魄权臣，他清冷人设崩了,6,太子有请,2050,407,19.9,105,19.5,3
另嫁落魄权臣，他清冷人设崩了,7,试探,2104,233,11.1,100,21.0,3
另嫁落魄权臣，他清冷人设崩了,8,阿禾，过来,1986,253,12.7,106,18.7,4
另嫁落魄权臣，他清冷人设崩了,9,少年,2022,556,27.5,110,18.4,2
另嫁落魄权臣，他清冷人设崩了,10,不太聪明,2078,480,23.1,108,19.2,1
另嫁落魄权臣，他清冷人设崩了,11,萧忱要杀她,2022,556,27.5,109,18.6,4
另嫁落魄权臣，他清冷人设崩了,12,去温家,2025,518,25.6,116,17.5,2
另嫁落魄权臣，他清冷人设崩了,13,公子如玉,2109,516,24.5,110,19.2,3
另嫁落魄权臣，他清冷人设崩了,14,找到她,2038,410,20.1,109,18.7,7
另嫁落魄权臣，他清冷人设崩了,15,开口便将她卖了,2064,574,27.8,122,16.9,5
另嫁落魄权臣，他清冷人设崩了,16,委屈你了,2085,718,34.4,110,19.0,5
另嫁落魄权臣，他清冷人设崩了,17,翻墙爬院的客人,2029,513,25.3,119,17.1,2
另嫁落魄权臣，他清冷人设崩了,18,拜堂,2049,469,22.9,91,22.5,1
另嫁落魄权臣，他清冷人设崩了,19,挽留,2057,396,19.3,108,19.0,5
另嫁落魄权臣，他清冷人设崩了,20,长本事了,2046,539,26.3,115,17.8,4
另嫁落魄权臣，他清冷人设崩了,21,你嘴怎么了？,2026,240,11.8,111,18.3,8
另嫁落魄权臣，他清冷人设崩了,22,好气派啊,2067,371,17.9,103,20.1,2
另嫁落魄权臣，他清冷人设崩了,23,我不爱甜食,1987,429,21.6,113,17.6,0
另嫁落魄权臣，他清冷人设崩了,24,不怀好意,2013,585,29.1,127,15.9,2
另嫁落魄权臣，他清冷人设崩了,25,找他算账,2034,619,30.4,128,15.9,2
另嫁落魄权臣，他清冷人设崩了,26,人活着才有价值,2025,778,38.4,126,16.1,0
另嫁落魄权臣，他清冷人设崩了,27,你发什么疯？,2089,383,18.3,125,16.7,4
另嫁落魄权臣，他清冷人设崩了,28,好像，出不去了,2073,210,10.1,119,17.4,4
另嫁落魄权臣，他清冷人设崩了,29,一人一半,2002,67,3.3,92,21.8,4
另嫁落魄权臣，他清冷人设崩了,30,可靠在我身上,2033,417,20.5,107,19.0,8
另嫁落魄权臣，他清冷人设崩了,31,不如给他扒了,2123,590,27.8,122,17.4,0
另嫁落魄权臣，他清冷人设崩了,32,竟然是他,2044,465,22.7,110,18.6,5
另嫁落魄权臣，他清冷人设崩了,33,得罪了,2225,601,27.0,139,16.0,2
另嫁落魄权臣，他清冷人设崩了,34,你爬床都费劲,2021,474,23.5,101,20.0,1
另嫁落魄权臣，他清冷人设崩了,35,我能做些什么？,2115,303,14.3,107,19.8,0
另嫁落魄权臣，他清冷人设崩了,36,不许进,2121,412,19.4,109,19.5,3
另嫁落魄权臣，他清冷人设崩了,37,信,2015,430,21.3,113,17.8,4
另嫁落魄权臣，他清冷人设崩了,38,你在失望什么？,2028,495,24.4,116,17.5,2
另嫁落魄权臣，他清冷人设崩了,39,果真？,2022,608,30.1,100,20.2,3
另嫁落魄权臣，他清冷人设崩了,40,钓鱼真的有技巧？,2070,196,9.5,102,20.3,1
另嫁落魄权臣，他清冷人设崩了,41,颠倒黑白,2021,513,25.4,104,19.4,1
另嫁落魄权臣，他清冷人设崩了,42,无形的硝烟,2061,774,37.6,107,19.3,3
另嫁落魄权臣，他清冷人设崩了,43,他如今光脚不怕穿鞋,2104,416,19.8,100,21.0,1
另嫁落魄权臣，他清冷人设崩了,44,欲骂又止,2019,240,11.9,86,23.5,0
另嫁落魄权臣，他清冷人设崩了,45,楚小姐,2031,444,21.9,109,18.6,1
另嫁落魄权臣，他清冷人设崩了,46,脑袋都看坏了,2050,763,37.2,119,17.2,2
另嫁落魄权臣，他清冷人设崩了,47,不心虚跑什么？,2037,157,7.7,98,20.8,2
