book,chapter,title,totalChars,dialogueChars,dialogueRatio,sentenceCount,avgSentenceLen,bannedHits
和落魄反派的同居日常,1,没地方去了,1840,186,10.1,88,20.9,0
和落魄反派的同居日常,2,穷鬼男友,2356,552,23.4,163,14.5,1
和落魄反派的同居日常,3,借我两万,1940,678,34.9,130,14.9,0
和落魄反派的同居日常,4,大概，这么大,1127,403,35.8,76,14.8,0
和落魄反派的同居日常,5,小气鬼,2509,302,12.0,155,16.2,0
和落魄反派的同居日常,6,你喜欢我吗？,2033,423,20.8,133,15.3,2
和落魄反派的同居日常,7,离开我十米外,2155,443,20.6,122,17.7,6
和落魄反派的同居日常,8,你会不会嫌弃我？,2087,494,23.7,117,17.8,4
和落魄反派的同居日常,9,你吃我剩下的啊？,2186,667,30.5,135,16.2,8
和落魄反派的同居日常,10,我们现在算什么关系？,2099,359,17.1,134,15.7,2
和落魄反派的同居日常,11,原来这就是对牛弹琴,2482,661,26.6,141,17.6,4
和落魄反派的同居日常,12,每周必须接吻三次,2255,401,17.8,129,17.5,6
和落魄反派的同居日常,13,周今远，谢谢,1887,291,15.4,104,18.1,3
和落魄反派的同居日常,14,我帮你擦,2234,353,15.8,142,15.7,9
和落魄反派的同居日常,15,你是有什么特殊癖好吗？,2118,359,16.9,137,15.5,0
和落魄反派的同居日常,16,我陪你,1914,243,12.7,121,15.8,4
和落魄反派的同居日常,17,有点社恐,2299,617,26.8,127,18.1,1
和落魄反派的同居日常,18,她要赚钱？,2125,468,22.0,129,16.5,3
和落魄反派的同居日常,19,贫穷的声音,1975,393,19.9,121,16.3,2
和落魄反派的同居日常,20,卡住了,2135,357,16.7,139,15.4,3
和落魄反派的同居日常,21,大实话真难听,2087,362,17.3,130,16.1,4
和落魄反派的同居日常,22,我喜欢穿破的,1924,319,16.6,118,16.3,5
和落魄反派的同居日常,23,好朴实无华的办法,2012,524,26.0,145,13.9,2
和落魄反派的同居日常,24,终究是错付了,2271,524,23.1,136,16.7,2
和落魄反派的同居日常,25,谁是你未婚妻了？,2556,878,34.4,169,15.1,7
和落魄反派的同居日常,26,你不喜欢？,2037,426,20.9,115,17.7,0
和落魄反派的同居日常,27,你干了什么？,2003,272,13.6,138,14.5,1
和落魄反派的同居日常,28,反正道歉就对了,2004,570,28.4,122,16.4,4
和落魄反派的同居日常,29,我想抱抱你,1853,432,23.3,107,17.3,3
和落魄反派的同居日常,30,你说什么悄悄话,2063,546,26.5,141,14.6,1
和落魄反派的同居日常,31,二十，没有万,2483,669,26.9,151,16.4,3
和落魄反派的同居日常,32,人菜瘾大,2167,362,16.7,131,16.5,4
和落魄反派的同居日常,33,我可以证明,1956,264,13.5,117,16.7,1
和落魄反派的同居日常,34,一个人睡害怕,1802,182,10.1,99,18.2,2
和落魄反派的同居日常,35,自愿赠与,2245,478,21.3,147,15.3,0
和落魄反派的同居日常,36,连周今远都嫌弃她,2125,433,20.4,132,16.1,2
和落魄反派的同居日常,37,你洗澡怎么不锁门,1962,286,14.6,115,17.1,0
和落魄反派的同居日常,38,得不到的才是最好的,2554,399,15.6,146,17.5,2
和落魄反派的同居日常,39,好痛,2176,305,14.0,133,16.4,1
和落魄反派的同居日常,40,用这种方式搬走了？,2445,632,25.8,140,17.5,1
和落魄反派的同居日常,41,我应该，先问你疼不疼,2422,618,25.5,152,15.9,0
和落魄反派的同居日常,42,眼神变得无比清澈,2071,508,24.5,123,16.8,5
和落魄反派的同居日常,43,我可不想年轻轻就当妈,2121,649,30.6,143,14.8,3
和落魄反派的同居日常,44,被无视了,2031,160,7.9,111,18.3,1
和落魄反派的同居日常,45,穷人不配谈恋爱,2329,598,25.7,154,15.1,0
和落魄反派的同居日常,46,周今远结婚了？,1055,98,9.3,53,19.9,2
和落魄反派的同居日常,47,她果然是个累赘,2931,592,20.2,168,17.4,6
和落魄反派的同居日常,48,他什么时候变得这么聪明了？,2513,952,37.9,173,14.5,4
和落魄反派的同居日常,49,刚才什么东西过去了？,2460,737,30.0,171,14.4,2
和落魄反派的同居日常,50,我有个好东西给你,1976,698,35.3,143,13.8,0
和落魄反派的同居日常,51,不要再干丢人现眼的事,2096,797,38.0,156,13.4,2
和落魄反派的同居日常,52,你又乱花钱,2019,439,21.7,130,15.5,2
和落魄反派的同居日常,53,你傻吗？,2079,359,17.3,126,16.5,2
和落魄反派的同居日常,54,好丢脸,1996,671,33.6,143,14.0,2
和落魄反派的同居日常,55,二姐夫是什么鬼,2153,495,23.0,145,14.8,3
和落魄反派的同居日常,56,凭什么！,2129,449,21.1,135,15.8,3
