book,chapter,title,totalChars,dialogueChars,dialogueRatio,sentenceCount,avgSentenceLen,bannedHits
林助理颠颠的，总裁他超爱,1,看的时候别带脑子，求求了,1957,236,12.1,97,20.2,3
林助理颠颠的，总裁他超爱,2,这合理吗？,2016,410,20.3,126,16.0,1
林助理颠颠的，总裁他超爱,3,老奴这就来接您,2498,541,21.7,136,18.4,3
林助理颠颠的，总裁他超爱,4,你，被开除了,2145,385,17.9,104,20.6,2
林助理颠颠的，总裁他超爱,5,收拾东西滚蛋,2023,577,28.5,114,17.7,4
林助理颠颠的，总裁他超爱,6,是不是鬼上身了？,2050,359,17.5,113,18.1,2
林助理颠颠的，总裁他超爱,7,咱们是不是要破产了？,1922,599,31.2,120,16.0,1
林助理颠颠的，总裁他超爱,8,我还没见傅总这么关心过一个人,2159,681,31.5,120,18.0,1
林助理颠颠的，总裁他超爱,9,你胆儿肥了？,2099,778,37.1,141,14.9,1
林助理颠颠的，总裁他超爱,10,这个饼画的又大又圆,2305,621,26.9,142,16.2,0
林助理颠颠的，总裁他超爱,11,我不相信我自己,2036,587,28.8,94,21.7,0
林助理颠颠的，总裁他超爱,12,爱看，喜欢看,2075,336,16.2,105,19.8,4
林助理颠颠的，总裁他超爱,13,让我消化消化,2085,657,31.5,133,15.7,1
林助理颠颠的，总裁他超爱,14,这是女二？,2033,343,16.9,103,19.7,1
林助理颠颠的，总裁他超爱,15,这孩子打小脑子就不好,2029,630,31.0,135,15.0,2
林助理颠颠的，总裁他超爱,16,无一失的计划,2043,792,38.8,134,15.2,2
林助理颠颠的，总裁他超爱,17,还有这设定呢？,2066,513,24.8,130,15.9,1
林助理颠颠的，总裁他超爱,18,演的可真好,2099,610,29.1,135,15.5,3
林助理颠颠的，总裁他超爱,19,少爷第一次带女人回来,2058,263,12.8,96,21.4,1
林助理颠颠的，总裁他超爱,20,“你，是谁？,2045,585,28.6,117,17.5,2
林助理颠颠的，总裁他超爱,21,恶毒女配？这分明就是她亲姐！,2041,779,38.2,124,16.5,1
林助理颠颠的，总裁他超爱,22,想不想要帅哥了？,2036,598,29.4,118,17.3,1
林助理颠颠的，总裁他超爱,23,遇到熟人了,2020,373,18.5,100,20.2,3
林助理颠颠的，总裁他超爱,24,我看这林助理也是风韵犹存啊,3064,1040,33.9,210,14.6,1
林助理颠颠的，总裁他超爱,25,三分钟内，我要那个男人的所有资料,2084,440,21.1,121,17.2,1
林助理颠颠的，总裁他超爱,26,这不是爱又是什么？,2009,467,23.2,71,28.3,0
林助理颠颠的，总裁他超爱,27,母猪的产后护理应该从产前就开始准备,3310,1264,38.2,190,17.4,2
林助理颠颠的，总裁他超爱,28,被赶出来了,3076,920,29.9,185,16.6,1
林助理颠颠的，总裁他超爱,29,有钱真好,2006,308,15.4,79,25.4,0
林助理颠颠的，总裁他超爱,30,这个月工资要扣完了,3440,966,28.1,182,18.9,0
林助理颠颠的，总裁他超爱,31,不要太离谱,2036,546,26.8,123,16.6,2
林助理颠颠的，总裁他超爱,32,三分茫然和四分伤心,2185,835,38.2,112,19.5,3
林助理颠颠的，总裁他超爱,33,他是这样的傅听白,2115,676,32.0,107,19.8,1
林助理颠颠的，总裁他超爱,34,去菜市场给你偷两头猪回来好不好,2428,483,19.9,149,16.3,0
林助理颠颠的，总裁他超爱,35,我有个朋友想看,2429,616,25.4,181,13.4,0
林助理颠颠的，总裁他超爱,36,因为不够变态而感到格格不入,2027,410,20.2,127,16.0,3
林助理颠颠的，总裁他超爱,37,系统也破防了,2112,864,40.9,131,16.1,1
林助理颠颠的，总裁他超爱,38,不会嫌弃姐姐是个司机吧？,2001,679,33.9,133,15.0,0
林助理颠颠的，总裁他超爱,39,你听我狡辩,2036,614,30.2,140,14.5,1
林助理颠颠的，总裁他超爱,40,脑子又出问题了,2085,406,19.5,113,18.5,2
林助理颠颠的，总裁他超爱,41,这种治好了也会流口水,2031,594,29.2,122,16.6,2
林助理颠颠的，总裁他超爱,42,成功浪费两分钟,2034,560,27.5,119,17.1,2
林助理颠颠的，总裁他超爱,43,妹妹说紫色很有韵味,2098,893,42.6,129,16.3,1
林助理颠颠的，总裁他超爱,44,你别说，你还真别说,2059,519,25.2,134,15.4,0
林助理颠颠的，总裁他超爱,45,人总不能为了尊严，连钱都不要了吧？,2093,452,21.6,128,16.4,3
林助理颠颠的，总裁他超爱,46,你好像一条舔狗,2012,667,33.2,128,15.7,1
林助理颠颠的，总裁他超爱,47,他好骚啊,2154,506,23.5,145,14.9,2
林助理颠颠的，总裁他超爱,48,林助理的表达越来越抽象了,2027,699,34.5,114,17.8,0
林助理颠颠的，总裁他超爱,49,靠谱,2058,362,17.6,107,19.2,0
林助理颠颠的，总裁他超爱,50,她…把男主给弄死了？,2027,650,32.1,128,15.8,4
林助理颠颠的，总裁他超爱,51,钱难赚屎难吃,2049,404,19.7,103,19.9,1
林助理颠颠的，总裁他超爱,52,你别不出声，我有点害怕,2042,555,27.2,143,14.3,1
林助理颠颠的，总裁他超爱,53,上班？给你上坟要不要,2041,760,37.2,123,16.6,1
林助理颠颠的，总裁他超爱,54,吃亏是福，福如东海,2022,794,39.3,142,14.2,1
林助理颠颠的，总裁他超爱,55,喝了两口西北风,2037,486,23.9,125,16.3,0
林助理颠颠的，总裁他超爱,56,把你们店里的空气换了,2130,675,31.7,139,15.3,0
林助理颠颠的，总裁他超爱,57,想刀一个人的眼神根本藏不住,2058,804,39.1,142,14.5,3
林助理颠颠的，总裁他超爱,58,你信命吗？,2045,807,39.5,137,14.9,0
林助理颠颠的，总裁他超爱,59,我不允许你骂自己是狗,2399,726,30.3,163,14.7,1
林助理颠颠的，总裁他超爱,60,天杀的傅听白！,2386,700,29.3,159,15.0,0
林助理颠颠的，总裁他超爱,61,真是一场酣畅淋漓的相亲啊,2065,489,23.7,124,16.7,1
林助理颠颠的，总裁他超爱,62,是兄弟就来砍我,2044,503,24.6,128,16.0,0
林助理颠颠的，总裁他超爱,63,比死亡更可怕的是社死,2094,559,26.7,137,15.3,2
林助理颠颠的，总裁他超爱,64,分析的不错，下次别分析了,2011,388,19.3,111,18.1,0
林助理颠颠的，总裁他超爱,65,一辈子很快就过去了,2035,667,32.8,154,13.2,0
林助理颠颠的，总裁他超爱,66,他在钓我,2045,708,34.6,152,13.5,2
林助理颠颠的，总裁他超爱,67,打起来，打起来！,2079,758,36.5,136,15.3,1
林助理颠颠的，总裁他超爱,68,果然很愤怒啊！,2144,509,23.7,137,15.6,2
林助理颠颠的，总裁他超爱,69,曾经，我遇到一个女孩,2067,788,38.1,138,15.0,0
林助理颠颠的，总裁他超爱,70,还挺护食,2032,589,29.0,139,14.6,0
林助理颠颠的，总裁他超爱,71,见见世面,2026,420,20.7,118,17.2,1
林助理颠颠的，总裁他超爱,72,你真的好深情啊,2092,967,46.2,150,13.9,2
林助理颠颠的，总裁他超爱,73,他终于要出手了,2042,549,26.9,127,16.1,1
林助理颠颠的，总裁他超爱,74,他又失恋了吗？,2134,526,24.6,125,17.1,0
林助理颠颠的，总裁他超爱,75,她被老公带走了,2036,394,19.4,115,17.7,1
林助理颠颠的，总裁他超爱,76,是我想的那样吗？,2052,427,20.8,124,16.5,0
林助理颠颠的，总裁他超爱,77,你有眼屎,2014,670,33.3,123,16.4,0
林助理颠颠的，总裁他超爱,78,绊脚石居然是自己,2022,604,29.9,133,15.2,1
林助理颠颠的，总裁他超爱,79,不知道取什么标题,2018,490,24.3,123,16.4,1
林助理颠颠的，总裁他超爱,80,水一章,2093,340,16.2,107,19.6,0
林助理颠颠的，总裁他超爱,81,要脸,2012,525,26.1,128,15.7,0
林助理颠颠的，总裁他超爱,82,感人故事,2055,976,47.5,119,17.3,1
林助理颠颠的，总裁他超爱,83,林助理以前，长得挺别致,2006,631,31.5,132,15.2,0
林助理颠颠的，总裁他超爱,84,有没有什么印象？,2059,555,27.0,153,13.5,0
林助理颠颠的，总裁他超爱,85,你这个人，我要定了,2108,691,32.8,116,18.2,0
林助理颠颠的，总裁他超爱,86,他居然不抠了？,2015,675,33.5,138,14.6,2
